File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations,Severity,FY Number
"Orange Stripe#99-FY25-BF-2, TSK-English.pdf",FY-25,Orange Stripe,99/FY-24,01-03-2025 Time: 04:35 PM,04:35 PM,SGP-2,"Blast Furnace-2, Mechanical Maintenance",Slag Granulation Plant (SGP),LTI of a company employee,Burn injury on right foot,Company,,,"Yellow risk (C3, L4)",146 days,No,,,,LTI,2025.0
"Orange Stripe#99-FY25-BF-2, TSK-English.pdf",FY-25,Orange Stripe,99/FY-24,,,,,,,,,,,,,,,1. Hot water spillage occurred due to snapping of transmission chain. 2. Hot slag water entered from the side of the safety shoe cause burn injury to his foot. 3. Drainage system of the area was found improper.,,LTI,2025.0
Orange Stripe#99-FY25-BF2-TSK- Odia.pdf,FY-25,Orange Stripe,,୦୧-୦୩-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#100-FY25-Fire Brigade-TSJ-English.pdf,FY-25,Orange Stripe,100/FY-25,11-03-2025 Time: 06:45 AM,06:45 AM,"West Plant Fire Station, near Lime Plant","Security & Brand Protection, TSJ",Fire Brigade,LTI of a company employee,Lacerated wound below the right eye,Company,,,"Yellow Risk (C3, L4)",,No,,,,LTI,2025.0
Orange Stripe#100-FY25-Fire Brigade-TSJ-English.pdf,FY-25,Orange Stripe,100/FY-25,,,,,,,,,,,,,,,1. Testing of fire tender and its equipment is being done regularly as scheduled practice. 2. Both the employees were standing closer (less than 2 meter) while testing the pump. 3. High pressure hose and guns were in good physical condition. Safety lock of the gun was not being used.,,LTI,2025.0
"Orange Stripe#100-FY25-Fire Brigade, TSJ,Odia.pdf",FY-25,Orange Stripe,,୧୧-୦୩-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe #101-109 FY25 (Odia).pdf,FY-25,Orange Stripe,,୧୦-୦୩-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,101/FY-25,10-03-2025 Time: 12:50 PM,12:50 PM,A-F BF highline area near bin-6,"Logistics Operations, TSJ",,LTI of a contract employee,Cut injury in his right wrist,Contractor,M/S Kaanan Enterprises,3 Star,"Yellow Risk (C3, L4)",473 days,No,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,101/FY-25,,,,,,,,,,,,,,,"1. The boarding and de-boarding locations for the crew were not displayed at the site. 2. The individual was de-boarding in the wrong posture (he was facing outwards, rather than towards the wagon). 3. The illumination in the area was found to be inadequate.",1. Do not use items such as metal bangles or jewelry which can pose a risk of snagging or cutting. 2. All machinery and equipment should be regularly inspected and maintained to minimize the risk of accidents resulting from mechanical failures.,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,102/FY-25,07-03-2025 Time: 2:25 PM,2:25 PM,"Caster-3, Electrical Control Room (ECR)","Steel Melting Shop-Projects, TSK",,LTI of a contract employee,Fracture on nose and forehead,Contractor,M/S Easy Techno,3 Star,"Yellow Risk (C3, L4)",283 days,No,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,102/FY-25,,,,,,,,,,,,,,,"1. Illumination at the site was found to be good. 2. The lighting junction boxes were being transported to the platform by hand, without being placed in any bag.",1. Loose materials should be carried in bags/other means as per the material handling standard.,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,103/FY-25,17-03-2025 Time: 11:25 AM,11:25 AM,"Railway siding, platform-03",Logistics-Inbound,,LTI of a contract employee,Displaced fracture of right leg little toe,Contractor,M/s Naresh Kumar & Company Pvt. Ltd.,5 Star,"Yellow Risk (C3, L4)",417 days,No,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,103/FY-25,,,,,,,,,,,,,,,"1. The presence of loosely welded iron plate on the wagon rack was not identified as a potential hazard before work commenced. 2. IP's shoes were in poor condition, which may not have been effective in preventing impacts from the fallen material on their foot.",1. Prior inspection of wagon racks should be conducted to identify and remove any loose or improperly welded objects. 2. Appropriate tools and equipment should be used for tarpaulin removal to minimize manual handling risks. This could include lifting aids or trolleys.,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,104/FY-25,17-03-2025 Time: 06:10 PM,06:10 PM,Scrap loading point,Large Dia Pipe (LDP),,LTI of a contractor employee,Cut injury in left hand ring finger,Contractor,Shivam Enterprise,4 Star,"Yellow Risk (C3, L4)",61 Days,Yes,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,104/FY-25,,,,,,,,,,,,,,,"1. The gloves worn by the IP was not cut resistant. 2. Tackle edge was not smooth or protected. 3. Poor communication found between the crane operator and ground worker. 4. The previously loaded drums were not arranged properly, leading to obstruction when lowering the new drum.","1. Workers should wear cut resistant gloves and protective sleeves while handling drums. 2. Use tools like pry bars or other suitable mechanical aids, to free stuck drums instead of manual intervention. 3. Visual SOPs should be displayed at shopfloor to demonstrate Do’s and Don’ts.",LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,105/FY-25,24-03-2025 Time: 11:45 am,11:45 am,Honing machine (machine no- KN523 5A),Operations,Plant-2,LTI of a company employee,Cut injury on right thumb,Company,,,"Yellow Risk (C3, L4)",396 days,No,,,,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,105/FY-25,,,,,,,,,,,,,,,1. The IP was not wearing all appropriate PPEs required for the job. 2. Machine exposed sharp edge was not adequately addressed in Hazard Identification and Risk Analysis (HIRA). 3. Machine was in manual mode. 4. Illumination at the workspace was found adequate.,1. Job Cycle Check (JCC) of the job should be done and changes should be implemented in the Standard Operating Procedure (SOP). 2. Training on the safe operation of the honing machine and the specific handling of the carrier plate should be conducted periodically.,LTI,2025.0
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,106/FY-25,21-03-2025 Time: 11:05 AM,11:05 AM,"Converter-1, Primary Steel Making",Steel Melting Shop (SMS),,LTI of two company employees & three contract employees,Fracture and cut injuries,Company,SMS India and L&T Prvt. Lmtd,3-Star,"Red Risk (C4, L5)",,No,,,,LTI,2025.0
"Orange Stripe#98-FY25-WRM, TSG-English.pdf",FY-25,Orange Stripe,98/FY-25,28-02-2025 Time: 11:10 AM,11:10 AM,"Billet Charging Area (BCA), Grinding Machine No-3","Wire Rod Mill, TSG",,LTI of a contract employee,Right hand middle finger dislocation,Contractor,M/s Kanti Singh and Company,3 Star,"Yellow Risk (C3, L5)",885 days,No,,,,LTI,2025.0
"Orange Stripe#98-FY25-WRM, TSG-English.pdf",FY-25,Orange Stripe,98/FY-25,,,,,,,,,,,,,,,"1. Positive isolation at the time of maintenance was not being followed. 2. No proper maintenance logs and inspection records were found. 3. Standard Operating Procedure (SOP) was available but found inadequate, greasing activity had not been define in the SOP.",1. Strict Lock Out Tag Out (LOTO) enforcement and mandatory isolation procedures should be implemented before maintenance work. 2. Permit to work system should be strengthened to prevent unauthorized maintenance work. 3. Proper machine guarding should be ensured through regular audits.,LTI,2025.0
Orange Stripe#98-FY25-WRM TSG- Odia.pdf,FY-25,Orange Stripe,,୨୮-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#96-Corporate Services, TSK-English.pdf",FY-25,Orange Stripe,96/FY-25,28-02-2025 Time: 09:30 AM,09:30 AM,RM-5 office area pantry,"Administration, Corporate Services, TSK",,LTI of a contract employee,Burn injury on both hands forearm,Contractor,Tata Steel UISL,3 Star,"Yellow Risk (C3, L4)",,No,,,,LTI,2025.0
