File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations
RED Stripe -01 TSM -  FY22  (English)_30.03.2022.pdf,FY-22,Red Stripe,02/FY22,30.03.2022 Time : Around 12:15 PM,Around 12:15 PM,", Meramandali Odisha","Quality Assurance Department, TSM",Not Found,Fatal incident of a contract employee,Crush injury,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": Deceased Person (DP) Mr. Behera was a pillion rider on a two-wheeler, going from HSM ( Hot Strip Mill) to SMS-1 (Steel Melting Shop) at his workplace. Ahead of them, a coal tar tanker under IBMD (Industrial By- Product Management Department) was going in the same direction. While the tanker took l",1. Deceased person was the pillion. 2. Both were wearing Crash Helmet 3. Both were going for their job of pasting stickers on HR (Hot Rolled) coil from HSM to SMS-1. 4. Tanker belongs to a customer who had come to collect the tar from coke oven under IBMD division. 5. CCTV footage captured about 50 m before the site of accident reveals both the persons on bike were talking on mobile while riding.,Not Found
Red Stripe # 03 TSK (P) - FY22 (English).pdf,FY-22,Red Stripe,03/FY22,08.03.2022 Time: 06:45 PM,06:45 PM,", Engineering & Projects – Kalinganagar","Engineering & Projects, Kalinganagar",Cold Rolling Mill (CRM),Fatal incident of a contract employee,Internal injury in the lower abdomen,Contractor,Not Found,Not Found,Not Found,Not Found,Not Found,": M/s Offshore Infrastructures Limited was engaged at the CRM Project site for mechanical and piping work. On 8th March 2022, their working team finished work alongside the entry bay area of the Continuous Galvanizing Line and post-closure of the work permit, they were cleaning the area. An F-15 (pi","1. Standard Work Procedure (SWP) was available for the job. Mr Sadanand Behera and the team had completed the day’s work, and the work permit had been returned. 2. F15 crane operator was doing the reverse movement on a downward sloping road. 3. F15 crane operator joined TSK site in January 2022 and has around 5 years of experience.",Not Found
Orange Stripe # 91 _ English.pdf,FY-22,Orange Stripe,91 /FY-22,11.03.2022 Time: 04:10 PM,04:10 PM,", Jamshedpur",Blower Pump House,Not Found,LTI of a company employee,Fracture of fifth metacarpal bone of left hand,Company,Not Found,Not Found,"Blue risk (C3, F3)",5990 Days,No,": On 11th March 2022, the injured person (IP) was engaged in PR-01 pump rotor installation job at ‘C’ Furnace Cooling Plant Pump House. While moving another side of the equipment, the IP jumped over the suction pipe of 500 mm diameter instead of using a cross over bridge provided for the same. In th",1. SOP for the job was available. 2. Illumination at the incident site was found adequate. 3. IP was using all required PPEs.,1. Communication to all concerned employees i. No shortcut should be taken while performing any activities. ii. Always use designated pathway/crossover/staircase for the movement. iii. More emphasis to be put on the reporting of the incident to the concerned personnel. 2. Emphasis on improving the appropriate behaviour at the workplace through a toolbox talk.
Orange Stripe # _92 English_.pdf,FY-22,Orange Stripe,92 /FY-22,05.03.2022 Time: 01:00 PM,01:00 PM,", Engineering & Projects - TGS","ISB, Tata Growth Shop",Not Found,LTI of a contractor employee,Left foot – crush injury with amputation of toes,Contractor,M/s TRF Limited,NA,"Red Risk ( C4, L4)",Not Found,Yes,": On 5th March 2022, the injured person (IP) was on A-shift duty. Goliath Crane # 2 was moving towards the plate storage area for lifting the plate, which was supposed to be loaded on the Proarc cutting machine. Suddenly the crane operator stopped the crane after hearing a loud yelling sound. The op",1. The left foot of IP got entrapped between the Goliath crane wheel and rail. 2. Illumination at the incident site was found adequate. 3. IP was using safety shoe.,1. Hard barricade should be provided on both sides of the rail throughout the length. 2. Optical sensor to be installed on both sides of each leg of Goliath Crane. 3. Wheel guard to be installed.
Orange Stripe # _90 English.pdf,FY-22,Orange Stripe,90 /FY-22,09.03.2022 Time: 07:25 AM,07:25 AM,", Jamshedpur",Hot Strip Mill,Quality Assurance,LTI of a company employee,Fracture of left ankle,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",305,Yes,": On 9th March 2022, the injured person was in on-job training and going downstairs to inspect the coil bottom surface at the Coil dividing line. While going downwards on the stair, he slipped. As a result, his left leg got twisted. He informed his superiors about the incident at around 10 am and su",1. Illumination at the incident site was found adequate. 2. IP was using all required PPEs. 3. Staircase was found free from Oil & Grease.,1. Employees should be attentive while using stairs. 2. High-resolution camera to be installed for coil inspection.
Orange Stripe # 81 English_.pdf,FY-22,Orange Stripe,81 /FY-22,18.01.2022 Time: 05:57 AM,05:57 AM,", Jamshedpur",Inbound Logistics,Not Found,LTI of a contractor employee,Fracture of right Ankle.,Company,M/s Trimurty Industries,3 stars,"Yellow Risk (C3, L4)",Not Found,No,": On 18th Jan 2022, the injured person (IP) was going home after completing 'C' shift duty. While he was crossing the road via zebra crossing near SBI ATM, suddenly a company employee coming to join ‘A’ shift duty on his two-wheeler hit him. As a result, he sustained an injury to his right leg. Imme",1. Road was in good condition. 2. There was foggy weather at the time of the incident. 3. It seems that the two-wheeler employee was in hurry to do In-Punch.,1. All employees should be attentive while driving vehicle inside the workplace and follow the road safety guideline.
Orange Stripe # 80 English_.pdf,FY-22,Orange Stripe,80 /FY-22,15.01.2022 Time: 10:19 PM,10:19 PM,", Jamshedpur","Logistics Operations, TSJ",RMM Operation,LTI of a contractor employee,Fracture of right-hand palm,Contractor,M/s Trimurty Industries,3 Star,"Red Risk (C4, L4)",Not Found,Yes,": On 15th Jan 2022, West Bokaro rake unloading activity was going on at CWT#2. After completing the unloading of the 25th wagon. It was being pushed towards outhaul side by Side Arm Charger to couple it with the empty wagons. During this activity, a jerk was generated. As a result, one of the defect",1. Wagon door was not in good condition also the door latch was found defective. 2. SOP mentions maintaining a safe distance from moving wagons. 3. IP was using all required PPEs. 4. Illumination at the incident site was found adequate.,1. Side Barricading to be shifted away to ensure a maximum safe distance from moving wagons. 2. Mesh to be provided to prevent any body part exposure towards moving wagon beyond the barricading.
Orange Stripe # 73_English.pdf,FY-22,Orange Stripe,73 /FY-22,29.12.2021 Time: 01:50 PM,01:50 PM,", Raw Material Division – West Bokaro",Coal Beneficiation,Washery-2,LTI of a company employee,Hairline fracture in 5th metatarsal bone of left foot,Company,Not Found,Not Found,"Blue Risk (C3, L3)",275 Days,No,"On 29th December 2021, after completing shift duty, injured person (IP) was going towards the attendance punching machine for punch out. While descending through the staircase near Pre-treatment Plant (PTP), IP felt a slight sprain in his left foot. In X-ray, hairline fracture was detected in the 5th metatarsal bone of the left foot. Risk Type : Blue Risk (C3, L3) Last date of Incident (LTI) of department : 29.03.2021 Incident (LTI) free days : 275 Days Under camera surveillance : No",1. IP was using all required PPEs. 2. Illumination at the incident site was found adequate. 3. Staircase was having adequate handrails and toe guards.,1. Behavioural safety training on attentiveness to be given to all concerned employees.
Orange Stripe # 67_English.pdf,FY-22,Orange Stripe,67 /FY-22,22.12.2021 Time: 09:25 PM,09:25 PM,", Raw Material Division – West Bokaro",Quarry-AB,Not Found,LTI of a company employee,Cut injury in Right-hand index finger.,Company,Not Found,Not Found,"Blue Risk (C3, L3)",337,No,": On 22nd December 2021, the injured person (IP) was deployed in EX01 excavator at VI OB Sec D. A problem in a ladder operation (not working smoothly) of the excavator was reported by IP at around 05:30 PM. This problem was attended by OEM (Tata Hitachi) and rectified. The equipment was operated by",1. Excavator Ladder was found stuck at the end of shift. 2. SOP was not followed. (Did not inform the concerned Supervisor about the abnormality in the ladder),1. Ladder (other than spring loaded) to be explored and replaced in Ex01 and other Ex-2500 excavators in consultation with OEM.
Orange Stripe # 64_English.pdf,FY-22,Orange Stripe,64 /FY-22,01.12.2021 Time: 02:00 PM,02:00 PM,", Jamshedpur Works",LD#2 & SC,Not Found,LTI of a company employee,Pain in right hand wrist joint,Company,Not Found,Not Found,"Yellow Risk (C3, F2)",317,No,": On 1st December 2021, the injured person (IP) was coming to attend B-shift duty on his two-wheeler. While reaching the MHS Punching machine area of LD#2 & SC, as he took a left turn his two-wheeler skidded on a small piece of slag debris lying on the road. As a result, he fell on the road and sust","1. Condition of the Road was found good, but a few small pieces of slag were lying on the road. 2. IP was wearing a crash helmet at the time of incident.",1. Counselling to the concerned employee to be done at the departmental level for Safe Driving. 2. Regular cleaning of the road needs to be ensured.
